,equity
2023-08-11 00:00:00-04:00,130609.30558000003
2023-08-14 00:00:00-04:00,130334.86558000004
2023-08-15 00:00:00-04:00,129885.46558000005
2023-08-16 00:00:00-04:00,128988.16558000003
2023-08-17 00:00:00-04:00,129095.44558000003
2023-08-18 00:00:00-04:00,128620.84558000002
2023-08-21 00:00:00-04:00,130715.80139500005
2023-08-22 00:00:00-04:00,130577.83139500007
2023-08-23 00:00:00-04:00,126779.84139499997
2023-08-24 00:00:00-04:00,120954.58139500002
2023-08-25 00:00:00-04:00,120996.65139500002
2023-08-28 00:00:00-04:00,123836.06139500006
2023-08-29 00:00:00-04:00,127045.28139500003
2023-08-30 00:00:00-04:00,127437.77139500002
2023-08-31 00:00:00-04:00,125792.28139500003
2023-09-01 00:00:00-04:00,118477.84139500008
2023-09-04 00:00:00-04:00,118488.69139500006
2023-09-05 00:00:00-04:00,116131.441395
2023-09-06 00:00:00-04:00,117740.59747500003
2023-09-07 00:00:00-04:00,115966.79747500003
2023-09-08 00:00:00-04:00,117196.65747500004
2023-09-11 00:00:00-04:00,117746.50747500002
2023-09-12 00:00:00-04:00,118679.96747500004
2023-09-13 00:00:00-04:00,118320.71747500004
2023-09-14 00:00:00-04:00,117535.49747500003
2023-09-15 00:00:00-04:00,117224.77747500004
2023-09-18 00:00:00-04:00,117828.23747500003
2023-09-19 00:00:00-04:00,119675.30747500004
2023-09-20 00:00:00-04:00,120418.02747500004
2023-09-21 00:00:00-04:00,121115.69747500002
2023-09-22 00:00:00-04:00,121942.04747500003
2023-09-25 00:00:00-04:00,122020.63521000004
2023-09-26 00:00:00-04:00,123277.59521
2023-09-27 00:00:00-04:00,121909.91521000006
2023-09-28 00:00:00-04:00,124158.23521000001
2023-09-29 00:00:00-04:00,124746.39521000005
2023-10-02 00:00:00-04:00,124437.91521
2023-10-03 00:00:00-04:00,127459.99521000002
2023-10-04 00:00:00-04:00,128483.35521000001
2023-10-05 00:00:00-04:00,129243.03521000006
2023-10-06 00:00:00-04:00,130460.31521000003
2023-10-09 00:00:00-04:00,132948.63521000004
2023-10-10 00:00:00-04:00,135584.79521000007
2023-10-11 00:00:00-04:00,136249.11521000002
2023-10-12 00:00:00-04:00,136169.75521000003
2023-10-13 00:00:00-04:00,134621.59521
2023-10-16 00:00:00-04:00,131187.35521
2023-10-17 00:00:00-04:00,131650.07520999998
2023-10-18 00:00:00-04:00,134348.31520999997
2023-10-19 00:00:00-04:00,134364.95521
2023-10-20 00:00:00-04:00,136035.99521000002
2023-10-23 00:00:00-04:00,135751.83521
2023-10-24 00:00:00-04:00,137842.71521
2023-10-25 00:00:00-04:00,138434.07520999998
